Instante,CargaEnergiaGWh,CargaEnergiaMWMed,IdSubSistema
"1996-12-27T22:00:00",505.0202,21042.50833333,"SE "
"1996-12-28T22:00:00",52.99632,2208.18,"N  "
"1996-12-28T22:00:00",112.25448,4677.27,"NE "
"1996-12-28T22:00:00",107.00712,4458.63,"S  "
"1996-12-28T22:00:00",462.1125,19254.6875,"SE "
"1996-12-29T22:00:00",55.6788,2319.95,"N  "
"1996-12-29T22:00:00",124.104,5171.0,"NE "
"1996-12-29T22:00:00",129.384,5391.0,"S  "
"1996-12-29T22:00:00",523.1066,21796.10833333,"SE "
"1996-12-30T22:00:00",54.68976,2278.74,"N  "
"1996-12-30T22:00:00",119.16072,4965.03,"NE "
"1996-12-30T22:00:00",121.5408,5064.2,"S  "
"1996-12-30T22:00:00",486.8186,20284.10833333,"SE "
"1996-12-31T22:00:00",52.22952,2176.23,"N  "
"1996-12-31T22:00:00",106.26648,4427.77,"NE "
"1996-12-31T22:00:00",102.10728,4254.47,"S  "
"1996-12-31T22:00:00",412.1371,17172.37916667,"SE "
"1997-01-01T22:00:00",54.19608,2258.17,"N  "
"1997-01-01T22:00:00",122.9856,5124.4,"NE "
"1997-01-01T22:00:00",125.92224,5246.76,"S  "
"1997-01-01T22:00:00",502.4072,20933.63333333,"SE "
"1997-01-02T22:00:00",53.1108,2212.95,"N  "
"1997-01-02T22:00:00",128.06496,5336.04,"NE "
"1997-01-02T22:00:00",131.25672,5469.03,"S  "
"1997-01-02T22:00:00",513.9449,21414.37083333,"SE "
"1997-01-03T22:00:00",53.69448,2237.27,"N  "
"1997-01-03T22:00:00",119.4972,4979.05,"NE "
"1997-01-03T22:00:00",122.3172,5096.55,"S  "
"1997-01-03T22:00:00",481.4148,20058.95,"SE "
"1997-01-04T22:00:00",52.09968,2170.82,"N  "
"1997-01-04T22:00:00",108.98688,4541.12,"NE "
"1997-01-04T22:00:00",107.634,4484.75,"S  "
"1997-01-04T22:00:00",438.7516,18281.31666667,"SE "
"1997-01-05T22:00:00",53.70504,2237.71,"N  "
"1997-01-05T22:00:00",125.58912,5232.88,"NE "
"1997-01-05T22:00:00",138.42048,5767.52,"S  "
"1997-01-05T22:00:00",532.6857,22195.2375,"SE "
"1997-01-06T22:00:00",54.8472,2285.3,"N  "
"1997-01-06T22:00:00",128.57544,5357.31,"NE "
"1997-01-06T22:00:00",148.67376,6194.74,"S  "
"1997-01-06T22:00:00",554.6189,23109.12083333,"SE "
"1997-01-07T22:00:00",56.0928,2337.2,"N  "
"1997-01-07T22:00:00",124.90128,5204.22,"NE "
"1997-01-07T22:00:00",150.56112,6273.38,"S  "
"1997-01-07T22:00:00",568.7593,23698.30416667,"SE "
